期數,議題,策略,策略數量,策略類型分類,主題分類
112-115年,社會安全及性別、族群平等,"1. 推動性別平權，打造性別友善環境，提升女性投入職場與科研發展意願
2. 以科技驅動高齡與兒少照護，開啟醫護智慧新時代，提升全民健康與照護
3. 推廣在地文化資產並平衡城鄉資源，落實文化平權
4. 強化偏鄉交通建設，建構數位與包容社會
5. 強化生技醫藥技術與研發機制，提升國家公衛健康防疫量能
6. 透過科技加強基礎設施之韌性，以增強應變靈活度",6,延續型策略,其他跨域;數位治理與基礎建設;社會公平;科技應用;綠色轉型
112-115年,淨零生活與公正轉型,"1.促進公民參與及倡議低碳生產消費體系，建立推廣低碳生活與消費策略
2.以科技應用和政策調適，加強淨零生活環境建設，讓民眾實踐可負擔的淨零生活
3.建立完善綠色工業技職培訓制度，以培力淨零人才與脆弱族群
4.發展綠色能源相關技術產業，創造綠色就業機會
5.建立分散式智慧電網，鼓勵設置社區公民電廠，促成能源生產多元化
6.形成公民參與的機制，以促進在地永續發展並保障受影響群體",6,延續型策略,人力與學習轉型;其他跨域;數位治理與基礎建設;科技應用;綠色轉型
112-115年,跨域多元人才培育、勞動市場轉型與經濟平權,"1.縮短教育落差，建立鬆綁教育制度與漸進式開放辦學，培養高適應力與自主學習人才
2.導入企業資源共同承擔人才培育責任，強化產學合作及職業訓練，推動彈性安全勞動市場制度，引導人才與產業雙向成長
3.建立全生命週期人才流動觀測機制，健全我國生活與育兒環境，完善攬才留才機制",3,延續型策略,人力與學習轉型;其他跨域;數位治理與基礎建設;綠色轉型
112-115年,新世代關鍵科技自主,"1.鞏固既有優勢，以國際合作接軌創新資源，共創我國次世代半導體發展優勢
2.依未來新應用發展需求，重新定義次世代半導體的產業鏈，協助我國半導體產業持續掌握未來市場商機
3.建立醫療數據應用之原則，釋放我國健康大數據資料價值
4.透過先導計畫建立示範案例，開創以人為本的數位健康新未來
5.選擇具最大效益之關鍵零組件，切入國際量子電腦產業鏈關鍵節點
6.發展量子電腦零組件及周邊關鍵設備，吸引國際重要量子人才來臺
7.鏈結國際大廠為策略夥伴，建立我國量子通訊或量子電腦的系統能力",7,延續型策略,人力與學習轉型;其他跨域;數位治理與基礎建設;科技應用
112-115年,衛星與次世代通訊,"1. 建立立方衛星、微衛星、低軌實驗衛星至低軌星系的完整階段發展，以提升我國於衛星產業核心技術優勢
2. 建立衛星、火箭、次世代通訊之量產與系統優化能力，促使領導廠商提供系統性解決方案並布局國際市場
3. 計畫性長期培育衛星通訊與次世代通訊之產業能量與人才，提升我國太空產業發展能量
4. 建立軍轉民、民轉軍之雙向科技合作機制，以利軍民槓桿彼此研究資源，加速相關技術發展",4,延續型策略,人力與學習轉型;其他跨域;科技應用
112-115年,淨零相關新興能源科技,"1. 整合淨零預算資源，加速開發適合臺灣環境特色的新興能源科技
2. 強化產業參與誘因並擴大民眾溝通，順利推進新興能源科技之在地試驗",2,延續型策略,其他跨域;科技應用;綠色轉型
112-115年,科研成果產業化體系,"1.提供優惠投資條件，吸引國內與國際創投參與我國早期新創募資
2.補助跨國企業與我國新創合作研發經費，鏈結其經驗加速我國新創國際化發展
3.以我國科技發展優先需求為主題式計畫，鼓勵產學研共組團隊以凝聚研發共識",3,延續型策略,其他跨域;科技應用
112-115年,供應鏈韌性布局與經濟安全,"1. 運用科技創新沙盒監理機制，預擬創新科技與產業的對接規劃與投資
2. 善用創新科技營造友善產業環境與風險評估，並透過跨部會協商整合，提供產業更多協助
3. 強化科技研發體系成果與產業韌性的鏈結
4. 建置重點產業保護機制，形成關鍵科技產業的護國群山
5. 推動農業生產工業化及智慧化，提升糧食自給率，建立永續生態環境",5,延續型策略,數位治理與基礎建設;科技應用;綠色轉型
112-115年,新興科技產業發展與轉型,"1. 重新檢視臺灣產業結構，扶植下世代新興產業
2. 擴大國際交流，培育國際下世代新興科技產業人才
3. 加強國內研發能量，開創臺灣特色新興科技產業
4. 加強產研合作，鼓勵提高「原創性發明」比重，厚實我國創新能量
5. 強化周邊新創生態系鏈結，發展包容、共融的科學園區",5,延續型策略,人力與學習轉型;其他跨域;社會公平;科技應用
112-115年,數位經濟,"1. 規劃完善數位管理制度及法規，建立信賴科技及數位資產應用環境
2. 爭取國際頂尖數位經濟企業在臺設立研發中心，強化軟體服務與資安防護能量
3. 建構分散式智慧生活情境即時反應系統，落實智慧巡檢、感測及物聯網科技的融合運用，運用人工智慧發展前兆分析技術，以降低地震、風災等天然災害風險",3,延續型策略,其他跨域;數位治理與基礎建設;科技應用;綠色轉型
112-115年,綠色經濟,"1. 增加新興能源技術投資，建立淨零排碳產研合作與綠能查核服務等平臺，滿足綠能轉型目標
2. 增加培訓機制，提供綠領人才",2,延續型策略,人力與學習轉型;其他跨域;綠色轉型
112-115年,循環經濟,"1. 強調永續生產與消費，充分落實循環經濟於產業與社會體系
2. 開發利於材料有效循環之技術、永續設計及新商業模式，產學攜手培育人才，推動產業淨零轉型
3. 循環經濟政策結合資金激勵措施，健全循環經濟市場機制",3,創新策略,人力與學習轉型;綠色轉型
112-115年,能源轉型,"1. 開發新興再生能源及低碳能源利用先導技術，打造低碳能源供給系統
2. 優化電力系統韌性與彈性，發展電力管理數位化及儲能設備，並強化防災能力
3. 提升能資源利用效率，降低能源及電力需求成長幅度",3,延續型策略,科技應用;綠色轉型
112-115年,關鍵能資源供應與管理,"1. 建構供應鏈安全管理法規架構，完備關鍵能資源供應機制
2. 開發能資源及材料替代技術，促進產業關鍵能資源循環再利用
3. 發展創新技術、創新設計與培育人才，深化關鍵能資源供應安全，加強產業關鍵能資源自主性",3,延續型策略,人力與學習轉型;數位治理與基礎建設
112-115年,氣候變遷風險與調適,"1. 淨零轉型融入科技發展，以跨域氣候服務驅動氣候治理跨域能量
2. 導入「以自然為本的解決方案（Nature-based Solutions, NBS）」概念，啟動法規調適與擴充，驅動跨域創新發展，形塑多元治理生態系
3. 適切科技運用，串連中央地方，優化人居空間，確保國人生命健康，落實生活轉型
4. 運用數據驅動，放大我國科研能量與影響力，帶動新興產業發展",4,延續型策略,數位治理與基礎建設;科技應用;綠色轉型
112-115年,環境資源治理與生態復育,"1. 提升資源調查與監測技術，整合資料庫以加強應用效益，並發展海域空間海洋大氣環境及時復原能力
2. 投入生態保育與復育技術，建構我國生態多樣性資料庫
3. 運用雲端科技整合環境監測資料，應用智慧化平臺進行系統性的環境監控與管理",3,延續型策略,數位治理與基礎建設;科技應用;綠色轉型
112-115年,軍民兩用科技,"1. 善用軍民通用科技合作平臺，提升自主國防科技能力
2. 盤點與擬定技術發展的優先順序及國際合作策略
3. 完善公私協力事實查核機制，提升政府應對認知作戰能力",3,延續型策略,人力與學習轉型;其他跨域;科技應用
112-115年,國家安全相關科技布局,"1. 強化政府於國家安全相關科技資源機制上的配置角色
2. 投注資源促進國家安全相關科技自主能力發展
3. 建立「國家核心關鍵技術」之安全治理機制",3,延續型策略,數位治理與基礎建設;科技應用
112-115年,資料治理法制,"1. 發展國家層級資料戰略，確立國家長期願景與推動策略
2. 鼓勵社會公益主題的資料治理實作，並發展資料治理最佳實務指引，協助資料生態系累積足夠踐行經驗與作法
3. 建立可信賴的資料服務治理模式，進而帶動資料生態蓬勃發展",3,創新策略,數位治理與基礎建設
112-115年,民主國家科技合作,"1. 建立符合國際規範之科技安全治理機制，凸顯在不同領域的科研優勢，創造參與民主科技合作之機會
2. 推動科技外交，提供有利科研人才雙向流動之誘因與機制
3. 維持戰略產業之技術優勢，建構參與國際合作之實力與環境",3,延續型策略,人力與學習轉型;其他跨域;數位治理與基礎建設;科技應用;綠色轉型
112-115年,科研體制,"1. 創新科研體制治理模式
2. 深化科研體制的基礎架構
3. 妥善配置國家資源，轉化國家科研成果",3,延續型策略,數位治理與基礎建設
112-115年,創新能量及創新生態系,"1. 健全產業供應鏈
2. 穩定科技預算，落實社會公益需求
3. 加速科學園區轉型",3,延續型策略,科技應用
112-115年,人才培育,"1. 創新賦能跨域人才培育
2. 公私合作投入彈性多元人力資本投資",2,創新策略,人力與學習轉型;其他跨域
112-115年,國際合作,"1. 積極鏈結國際市場與資源
2. 建立國家級科技國際合作戰略
3. 接軌國際法規與標準",3,延續型策略,其他跨域;數位治理與基礎建設;科技應用
112-115年,法規架構,"1. 調整既有法規來減低新科技衝擊
2. 建構創新科技法規架構",2,延續型策略,數位治理與基礎建設;科技應用
108-111年,食品安全,"1. 完善食安體系，促進產業加值
2. 強化橫向整合，降低食安風險
3. 導入智慧科技，厚實稽查量能",3,延續型策略,科技應用
108-111年,資安風險,"1. 培育資安人才，均衡產業供需
2. 強化國際交流，完善資安環境
3. 完備基礎設施，提高產業量能",3,延續型策略,人力與學習轉型;其他跨域;數位治理與基礎建設;科技應用;綠色轉型
108-111年,醫療資源分配,"1. 整合資訊平臺，強化多元服務
2. 活絡區域資源，強化遠距醫療",2,延續型策略,其他跨域
108-111年,防疫抗病與預防保健,"1. 強化預防保健，完備醫療網絡
2. 建置全方位防疫網絡，增進防疫量能
3. 整合跨域資源，促進社會創新",3,延續型策略,其他跨域
108-111年,網路公開訊息正確性,"1. 強化媒體素養教育
2. 健全資訊生態體系",2,延續型策略,人力與學習轉型
108-111年,高齡與失智者的健康照護,"1. 增進公私協力，強化照護網絡
2. 促進科技創新，發展智慧照護
3. 完善人才培訓，提升照護量能",3,延續型策略,人力與學習轉型;科技應用
108-111年,循環經濟,"1. 調適相關法規，加強科技應用
2. 促進跨界合作，建立創新模式
3. 強化循環設計，完善循環體系
4. 提高資源生產力，活絡綠色經濟",4,延續型策略,其他跨域;數位治理與基礎建設;科技應用;綠色轉型
108-111年,新興金融科技,"1.加速調適金融法規
2.完善金融服務跨界合作平臺
3.促進跨域資源整合，積極扶持新創
4.加強國際接軌，拓展市場與培育人才",4,創新策略,人力與學習轉型;其他跨域;數位治理與基礎建設
108-111年,新型態商業模式,"1. 促進跨界溝通，調適法令規範
2. 完備服務機制，保障民眾權益",2,延續型策略,其他跨域
108-111年,城鄉經濟發展差距,"1. 強化府際合作，活絡地方經濟
2. 推動行政區劃，促進地方共生
3. 整合地域資源，營造地方特色",3,延續型策略,其他跨域
108-111年,智慧革命浪潮下產業升級與轉型,"1. 建置資訊平臺，強化垂直整合
2. 整合科研能量，建立核心實力
3. 促進國際鏈結，強化人才培育",3,延續型策略,人力與學習轉型;其他跨域
108-111年,環境品質,"1. 布建環境感測網，厚實稽查量能
2. 強化溫室氣體減量誘因，提高產業參與意願
3. 強化循環技術，擴大示範園區效益",3,延續型策略,其他跨域;綠色轉型
108-111年,能源供需,"1. 落實節能減碳，提升能源效率
2. 導入創新模式，促進能源開發
3. 強化智慧電網，穩定供電品質",3,延續型策略,科技應用;綠色轉型
108-111年,災害風險管理,"1. 建立跨界風險治理架構，優化災害風險控管
2. 有效蒐集利用災害相關情資數據，強化災害預警能量，培育相關產業",2,延續型策略,數位治理與基礎建設;科技應用
108-111年,文化、科技跨域共融,"1. 推動文化資產保存及活化，打造智能文化城市
2. 培訓與媒合跨域專業人才，建立學研新典範
3. 鼓勵文化創作及加值應用，提升民眾文化素養
4. 建立新型態文化傳播平臺，催生文化內容創新生態系",4,延續型策略,人力與學習轉型;社會公平
108-111年,高階人才的培育與延攬,"1. 扶植延攬高階研發人才，厚植科研與產業研發能量
2. 培育延攬專業人才，協助產業升級轉型",2,延續型策略,人力與學習轉型
108-111年,智慧城市,"1. 有效結合數據資料，進行整體規劃
2. 結合公私能量，發展商業模式
3. 建立完善評估指標，引導智慧城市發展",3,延續型策略,數位治理與基礎建設;科技應用
108-111年,城鄉頻寬落差,"1. 強化府際合作，發揮運作效益
2. 推動在地數位應用，促進區域發展",2,延續型策略,其他跨域
108-111年,交通運輸智慧化,"1. 強化運輸監測，提高交通安全
2. 強化系統開發，擴展多元服務
3. 活絡地方資源，增進運輸量能",3,延續型策略,科技應用
108-111年,科技發展與法規調適,"1. 建立科技法制風險溝通與評估制度，平衡科技發展的風險與效益
2. 釐清新興科技倫理與法律相關爭議，兼顧權利保障與科技創新",2,延續型策略,數位治理與基礎建設;科技應用
104-107年,科技優勢，科研價值,"聚焦科技優勢領域，創造科研卓越價值
1.建立預算合理分配機制，重點推動優勢領域
2.強化基礎研究，發掘未來新興科技議題
3.加速次世代寬頻研發，強化新興疾病、環境復育及災害防救相關教育與研究，以學術卓越帶動產業
4.配合國內產業結構，建立市場導向的研發策略，及學研與產業的合作模式",4,延續型策略,人力與學習轉型;其他跨域;數位治理與基礎建設;科技應用;綠色轉型
104-107年,人才供需，創業環境,"平衡產學人才供需，完善科研創業環境
1.改善產學人才流動機制，促進產學互動與交流
2.重視教育體系多元發展，落實商業化知識傳遞與技能訓練，平衡產學人才供需
3.串聯創意、創新、創業，打造成為亞太地區的三創樞紐
4.推動科技創業，建立早期投資機制
5.提供多元籌資管道，分散早期投資風險",5,創新策略,人力與學習轉型;科技應用;綠色轉型
104-107年,綠能科技，低碳社會,"打造綠能科技國度，形塑低碳智慧社會
1.提升整體國際綠能科技競爭力，落實能源發展計畫
2.打造安全防災的生活智慧網絡，維護人民生命安全
3.建構安全智慧環境，聯結綠能供應鏈與服務鏈
4.提倡低碳城市美學，為城鄉風貌注入新生命",4,延續型策略,其他跨域;科技應用;綠色轉型
104-107年,永續機制，環保產經,"落實永續發展機制，調和環保產經發展
1.加速設立永續發展決策機制，正視國土保育議題
2.營造有利綠能產業發展的法制與市場環境
3.整合綠能科技生活產業，推廣多元智慧兼具環保生活
4.重視政策環境影響評估，環保產經發展兼容並蓄",4,創新策略,科技應用;綠色轉型
104-107年,智財布局，產業創新,"建構科技智財布局，強化產業創新動能
1.健全創業投資環境
2.活化學界智財運用
3.著重早期技術智財保護與發展
4.推動全球智財布局，營造高獲利產業創新環境",4,延續型策略,科技應用;綠色轉型
104-107年,產業升級，新興產業,"加速產業智慧升級，發展重點新興產業
1.推動重點產業前瞻布局，建立全球與區域經濟競爭優勢
2.結合資通訊產業優勢，推動產業智慧化
3.發掘關鍵產業技術與深耕
4.營造智慧化產業經營環境",4,創新策略,科技應用;綠色轉型
104-107年,安心環境，健康生活,"營造幸福安心環境，推動智慧健康生活
1.滿足社會多元安全需求，建構人本安全的舒適環境
2.善用與生活安全相關之科技研發成果，落實於多層面之民生應用
3.運用資通訊技術強化健康照護體系，善用產業力量營造永續經營
4.健全新興傳染疾病監控與風險評估，發展完善防疫對策與技術",4,延續型策略,科技應用;綠色轉型
104-107年,包容社會，城鄉均衡,"建構多元包容社會，實踐城鄉均衡發展
1.推動多元參與及公平數位學習機會，促進社會和諧並提升全民資訊素養
2.積極面對人口高齡化趨勢，推動高齡友善城市發展
3.重視環境與數位條件均衡，健全城鄉機能規劃
4.積極創造城鄉互動之契機，以科技創新驅動城鄉多元協調發展",4,延續型策略,人力與學習轉型;其他跨域;社會公平;科技應用;綠色轉型
100-103年,人力資源，知識價值,"善用科技人力資源，開發無限知識價值
1.培育、延攬與運用科技人才
2.因應人口結構變遷，平衡重點領域科技人才供需均衡
3.培養具全球視野之跨領域合作與國際化系統創新人才
4.促進國際科技與人才交流，鏈結全球科技社群與產業創新網絡",4,延續型策略,人力與學習轉型;其他跨域;科技應用
100-103年,學術品質，跨界合作,"重視學術研究品質，促進學研產業合作
1.建立優質學術研究環境，提升科技研究服務效能
2.建構活躍頂尖的研究社群，追求世界頂尖的研究品質
3.促進產學研密切合作，形成互動密集之知識創新體系
4.重視學術研究成果評估與應用推廣",4,延續型策略,其他跨域;科技應用;綠色轉型
100-103年,創新中心，產業群聚,"建構全球創新中心，強化特色產業群聚
1.系統化分析全球市場商機與科技趨勢，進行全球資源連結與研發布局
2.鼓勵企業投入綠色研發設計與生產，提升自有品牌與全球行銷能力
3.發展特色高附加價值產業聚落，建構高科技產業創新走廊
4.善用資通產業優勢，結合我國文化創意，成為全球創新中心
5.活絡智慧財產運用，健全創新創業環境",5,延續型策略,社會公平;科技應用;綠色轉型
100-103年,健康生活，智能產業,"創新健康生活科技，開創新興智能產業
1.推動重點新興產業，精實多元產業發展
2.推動新興智慧型產業，推升產業創新價值
3.鏈結生技產業價值鏈，提升生物經濟產值，促進國民健康福祉
4.開拓與民眾需求結合的跨領域整合應用生活產業",4,延續型策略,科技應用
100-103年,災害防救，幸福安全,"整合災害防救科技，增進人民幸福安全
1.進行全球氣候變遷影響評估，發展自然災變管理體系
2.加強災害防救科技之研發，提升社會整體抗災救災能力
3.健全環境監測及風險評估管理，發展氣候變遷調適對策
4.活絡災害防救體系之通報、溝通與協調，提升災後復原重建運作效能",4,延續型策略,科技應用;綠色轉型
100-103年,人文科技，軟性國力,"結合人文科技發展，提升智慧軟性國力
1.結合科技創新、文化創意與在地生活，推展文化藝術產業，以提升生活品質
2.因應社會變遷，發展人性關懷相關科技與新興服務業
3.營造智慧生活環境，形成優質而幸福的社會氛圍",3,延續型策略,社會公平;科技應用;綠色轉型
100-103年,鬆綁法規，政策前瞻,"鬆綁法規改善制度，強化政策前瞻規劃
1.推動技術前瞻研究，尋求科技與社會長遠發展之全民共識
2.重視科技發展之長期規劃與績效評鑑
3.鬆綁法規、改革制度，以創造有利科技發展的環境
4.健全法規制度，促進產學研界研發成果綜效之運用",4,延續型策略,數位治理與基礎建設;科技應用;綠色轉型
100-103年,永續能源，綠色低碳,"創新永續能源科技，建構綠色低碳環境
1.推展潔淨及綠色能源技術，創造綠色就業機會，打造低碳經濟
2.傳統產業高值化及低碳化，建構綠能產業環境
3.推動國土復育與環境保護，追求永續發展
4.發展海洋科技，均衡海/陸域資源保育與利用",4,創新策略,科技應用;綠色轉型
96-99年,政策規劃，制度法規,"強化政策規劃，完善制度法規
1.推動技術前瞻研究，尋求科技與社會長遠發展之全民共識
2.重視科技發展之長期規劃與績效評鑑
3.鬆綁法規、改革制度，以創造有利科技發展的環境",3,延續型策略,數位治理與基礎建設;科技應用;綠色轉型
96-99年,科技人力，人才供需,"開發科技人力，規劃人才供需
1.有效培育、延攬與運用科技人才
2.加強科技倫理與創造力教育，培養系統整合與創新人才
3.規劃科技產業長期需求，平衡各類專長科技人才供需",3,創新策略,人力與學習轉型;科技應用
96-99年,特色領域，學術卓越,"深耕特色領域，追求學術卓越
1.建構良好的研究環境與活躍的研究社群，邁向世界一流
2.鼓勵跨國研究合作，積極參與重要國際學術活動",2,延續型策略,其他跨域;綠色轉型
96-99年,產學合作，產業群聚,"鼓勵產學合作，發展產業群聚
1.促進產學研密切合作，形成互動交流之知識創新體系
2.發展地區特色產業群聚，建構區域創新系統",2,延續型策略,其他跨域;科技應用
96-99年,創新創業，新興產業,"鼓勵創新創業，促成新興產業
1.培育具有國際競爭力、整合科技、創意與文化之新興服務產業
2.運用革命性科技，提升傳統產業水準，邁向高價值策略性生活產業
3.活絡智財流通運用，健全創新創業發展環境
4.系統化研究全球市場趨勢、以指引產品與服務研發方向
5.鼓勵企業投入研發、建立自有品牌與全球行銷能力",5,延續型策略,其他跨域;社會公平;科技應用;綠色轉型
96-99年,民生福祉，生活品質,"增進民生福祉，提升生活品質
1.充分利用優質化通訊與通訊網路環境，發展創新服務
2.重視環境保護，追求永續發展
3.因應人口結構變遷與高齡化社會，發展相關科技與應用",3,延續型策略,社會公平;科技應用;綠色轉型
96-99年,國防科技，軍民技轉,"強化國防科技，促進軍民技轉
1.發展軍民通用科技、建構自主國防工業體系
2.促進國防與民間產業科技互相移轉",2,延續型策略,科技應用
92-95年,人力培訓延用,"加強科技人力資源的培育、培訓、延攬及運用
1.有系統的培養各層次、各領域及跨領域專長之研發創新科技人員
2.建構優質環境等配套措施，以留住所需科技人才
3.設計有效機制建立彈性科技人事制度
4.推動全民科技教育，建立大眾科技與人文之素養
5.厚植我國研究人員研究能力，使我國科技發展實力具國際競爭力並與全球接軌
6.檢討與改善技職教育體系，促進技職院校之合理發展
7.建立大專校院推動產學合作之依循，鼓勵大專校院優秀教師投身產學合作
8.建立大專校院教師以實務性研發成果申請升等之審查機制",8,創新策略,人力與學習轉型;其他跨域;數位治理與基礎建設;科技應用;綠色轉型
92-95年,善用科技資源,"充實並開創科技研發及創新經費，有效運用現有科技資源
1.鼓勵民間積極投入研發及創新，應制定激勵或回饋等配套機制
2.科技經費之管理、審議及績效評鑑應考量制度化及效率化
3.科技研發與創新環境的配合措施、科技組織體系與法制化適度調整與改進
4.鬆綁法規，鼓勵民間企業提高其研發經費",4,破壞式創新策略,數位治理與基礎建設;科技應用;綠色轉型
92-95年,發展特色研究,"重視學術研究、發展具有特色之世界級研究領域
1.吸引國外學研人才來台研究，鼓勵跨國合作研究
2.鼓勵跨領域合作、前瞻、尖端科學與長期研究，發展具我國特色的研究領域
3.調高基礎研究經費之投入率，確保應用研究及技術發展的創意源頭
4.學術研究成果質量並重，將研究成果在產業之應用效果納入考量
5.以「質的提升」做為學術研究補助策略之主軸，打破平頭式的補助方式
6.規劃建立世界一流大學，並重點支持卓越研究型大學成為世界級研究中心",6,延續型策略,人力與學習轉型;其他跨域;數位治理與基礎建設
92-95年,友善創新環境,"加強技術創新、建構產業發展適合之環境
1.健全高科技產業及創新發展環境
2.開發產業核心技術，建立完整之重點產業規劃機制
3.建立研發成果之智慧財產權保護及技術移轉機制
4.鼓勵產學研合作研究，加速研發成果商品化
5.推動跨部會產學合作會報
6.發展具特色之產業聚落
7.推動國際科技合作，促進人才與技術之交流
8.發展資通安全基礎建設
9.強化科技專案帶動民間增加研發投入及人才培育",9,延續型策略,人力與學習轉型;其他跨域;數位治理與基礎建設;科技應用;綠色轉型
92-95年,促進科技發展,"促進科技與社會、環境互動發展，增進民生福祉與環境品質
1.運用科技增進民生福祉與環境品質
2.重視並評估科技發展可能造成的影響及與其他社會系統互動
3.廣泛爭取各社群認同重大科技研發投資
4.應用新科技於傳統文化的保存、終身學習與文化傳播",4,延續型策略,人力與學習轉型;社會公平;科技應用;綠色轉型
92-95年,強化國防科技,"強化優勢國防科技體系、促進軍民通用科技發展
1.完善國防科技發展策略規劃
2.研訂國防科技發展指標，重點突破國防科技關鍵技術
3.強化軍民通用技術管理機制，協助民間提升科技研發實力",3,延續型策略,科技應用
